"geolocation","count"
"congonhas, MG, Brasil",12210
"luis eduardo magalhaes, BA, Brasil",12060
"caldas novas, GO, Brasil",12060
"campo bom, RS, Brasil",12024
"salto, SP, Brasil",12020
"santa cruz do rio pardo, SP, Brasil",11970
"lins, SP, Brasil",11855
"guaiba, RS, Brasil",11842
"araxa, MG, Brasil",11841
"guaxupe, MG, Brasil",11840
"birigui, SP, Brasil",11710
"uba, MG, Brasil",11639
"ponta grossa, PR, Brasil",11621
"erechim, RS, Brasil",11522
"guanambi, BA, Brasil",11476
"gramado, RS, Brasil",11400
"sao joao de meriti, RJ, Brasil",11388
"mauá, SP, Brasil",11260
"monte alto, SP, Brasil",11254
"capao da canoa, RS, Brasil",11248
"capivari, SP, Brasil",11235
"lauro de freitas, BA, Brasil",11204
"sao jose dos pinhais, PR, Brasil",11187
"santa fe do sul, SP, Brasil",11095
"lajeado, RS, Brasil",11012
"santa rita do sapucai, MG, Brasil",10990
"adamantina, SP, Brasil",10964
"cerquilho, SP, Brasil",10920
"mirassol, SP, Brasil",10875
"taquaritinga, SP, Brasil",10861
"diamantina, MG, Brasil",10827
"santa isabel, SP, Brasil",10710
"botucatu, SP, Brasil",10657
"dracena, SP, Brasil",10584
"olimpia, SP, Brasil",10526
"feira de santana, BA, Brasil",10466
"aracatuba, SP, Brasil",10462
"tiete, SP, Brasil",10397
"vassouras, RJ, Brasil",10323
"andradina, SP, Brasil",10242
"tremembe, SP, Brasil",10222
"natal, RN, Brasil",10208
"sao lourenco, MG, Brasil",10098
"montenegro, RS, Brasil",9952
"sao joaquim da barra, SP, Brasil",9792
"palmas, TO, Brasil",9762
"extrema, MG, Brasil",9760
"parauapebas, PA, Brasil",9724
"são caetano do sul, SP, Brasil",9670
"cosmopolis, SP, Brasil",9669
"porto ferreira, SP, Brasil",9520
"itanhaém, SP, Brasil",9520
"ituverava, SP, Brasil",9510
"sorriso, MT, Brasil",9500
"sao joao da boa vista, SP, Brasil",9498
"batatais, SP, Brasil",9492
"mogi mirim, SP, Brasil",9433
"ituiutaba, MG, Brasil",9357
"teresopolis, RJ, Brasil",9320
"caieiras, SP, Brasil",9245
"osorio, RS, Brasil",9240
"vinhedo, SP, Brasil",9213
"rio bonito, RJ, Brasil",9156
"palhoca, SC, Brasil",8961
"bage, RS, Brasil",8884
"barra mansa, RJ, Brasil",8870
"timoteo, MG, Brasil",8866
"amparo, SP, Brasil",8700
"poços de caldas, MG, Brasil",8658
"novo hamburgo, RS, Brasil",8590
"arraial do cabo, RJ, Brasil",8526
"resende, RJ, Brasil",8514
"marechal candido rondon, PR, Brasil",8494
"monte mor, SP, Brasil",8480
"porto feliz, SP, Brasil",8470
"imbituba, SC, Brasil",8398
"valenca, RJ, Brasil",8353
"votuporanga, SP, Brasil",8298
"barra bonita, SP, Brasil",8294
"santo antonio de padua, RJ, Brasil",8224
"passos, MG, Brasil",8206
"votorantim, SP, Brasil",8133
"alem paraiba, MG, Brasil",8120
"pato branco, PR, Brasil",8114
"ilha solteira, SP, Brasil",8112
"guaira, SP, Brasil",8100
"itapetininga, SP, Brasil",8096
"bento goncalves, RS, Brasil",8034
"santiago, RS, Brasil",8008
"cachoeiro de itapemirim, ES, Brasil",7909
"itapecerica da serra, SP, Brasil",7886
"rio grande da serra, SP, Brasil",7826
"presidente venceslau, SP, Brasil",7774
"sao leopoldo, RS, Brasil",7757
"cariacica, ES, Brasil",7754
"itupeva, SP, Brasil",7744
"francisco beltrao, PR, Brasil",7722
"santa barbara d'oeste, SP, Brasil",7692
"promissao, SP, Brasil",7680
"jandira, SP, Brasil",7658
"xanxere, SC, Brasil",7627
"orlandia, SP, Brasil",7598
"são josé do rio preto, SP, Brasil",7542
"aparecida, SP, Brasil",7525
"sao joao del rei, MG, Brasil",7509
"assis, SP, Brasil",7502
"balneário camboriú, SC, Brasil",7489
"para de minas, MG, Brasil",7443
"santa cruz do sul, RS, Brasil",7440
"mafra, SC, Brasil",7420
"lucas do rio verde, MT, Brasil",7416
"linhares, ES, Brasil",7397
"vitoria da conquista, BA, Brasil",7377
"lorena, SP, Brasil",7320
"carazinho, RS, Brasil",7320
"caraguatatuba, SP, Brasil",7241
"rio branco, AC, Brasil",7226
"vacaria, RS, Brasil",7199
"monte carmelo, MG, Brasil",7176
"canoinhas, SC, Brasil",7155
"cachoeira paulista, SP, Brasil",7125
"caete, MG, Brasil",7101
"miguel pereira, RJ, Brasil",7044
"mage, RJ, Brasil",7009
"louveira, SP, Brasil",6996
"valenca, BA, Brasil",6965
"mairinque, SP, Brasil",6900
"carangola, MG, Brasil",6885
"nanuque, MG, Brasil",6852
"criciuma, SC, Brasil",6793
"cornelio procopio, PR, Brasil",6792
"dois vizinhos, PR, Brasil",6776
"frutal, MG, Brasil",6760
"garca, SP, Brasil",6692
"pirassununga, SP, Brasil",6659
"pindamonhangaba, SP, Brasil",6602
"catanduva, SP, Brasil",6602
"tijucas, SC, Brasil",6600
"itabuna, BA, Brasil",6552
"muriae, MG, Brasil",6550
"sinop, MT, Brasil",6547
"arcos, MG, Brasil",6525
"tramandai, RS, Brasil",6500
"goiânia, GO, Brasil",6499
"mogi-guacu, SP, Brasil",6447
"belford roxo, RJ, Brasil",6424
"araguari, MG, Brasil",6397
"armacao dos buzios, RJ, Brasil",6380
"itarare, SP, Brasil",6380
"barreiras, BA, Brasil",6371
"medianeira, PR, Brasil",6371
"tubarao, SC, Brasil",6362
"santos dumont, MG, Brasil",6358
"matinhos, PR, Brasil",6345
"matao, SP, Brasil",6329
"são carlos, SP, Brasil",6319
"ibitinga, SP, Brasil",6292
"ourinhos, SP, Brasil",6242
"jaboatao dos guararapes, PE, Brasil",6225
"uniao da vitoria, PR, Brasil",6193
"caceres, MT, Brasil",6175
"paranagua, PR, Brasil",6140
"guarujá, SP, Brasil",6128
"ibiuna, SP, Brasil",6107
"varginha, MG, Brasil",6077
"santana de parnaíba, SP, Brasil",6066
"uruguaiana, RS, Brasil",6052
"foz do iguacu, PR, Brasil",6022
"cacador, SC, Brasil",5990
"tatui, SP, Brasil",5990
"sao roque, SP, Brasil",5955
"joacaba, SC, Brasil",5928
"lages, SC, Brasil",5926
"alfenas, MG, Brasil",5916
"carapicuíba, SP, Brasil",5903
"nova iguaçu, RJ, Brasil",5884
"tangara da serra, MT, Brasil",5880
"campo belo, MG, Brasil",5880
"parati, RJ, Brasil",5856
"mairiporã, SP, Brasil",5850
"itatiba, SP, Brasil",5808
"jacobina, BA, Brasil",5712
"brumadinho, MG, Brasil",5694
"sao gotardo, MG, Brasil",5660
"maringá, PR, Brasil",5625
"toledo, PR, Brasil",5548
"jaragua do sul, SC, Brasil",5534
"santo angelo, RS, Brasil",5499
"curitibanos, SC, Brasil",5481
"guarapari, ES, Brasil",5462
"cubatao, SP, Brasil",5459
"piraju, SP, Brasil",5453
"sertaozinho, SP, Brasil",5447
"taboão da serra, SP, Brasil",5436
"cachoeirinha, RS, Brasil",5386
"santa barbara, MG, Brasil",5382
"presidente epitacio, SP, Brasil",5382
"pinhais, PR, Brasil",5365
"cajamar, SP, Brasil",5358
"bom jesus do itabapoana, RJ, Brasil",5355
"manaus, AM, Brasil",5330
"manhuaçu, MG, Brasil",5330
"irati, PR, Brasil",5324
"guaratingueta, SP, Brasil",5322
"saquarema, RJ, Brasil",5273
"angra dos reis, RJ, Brasil",5264
"ferraz de vasconcelos, SP, Brasil",5225
"rio verde, GO, Brasil",5220
"leopoldina, MG, Brasil",5202
"bebedouro, SP, Brasil",5196
"itapira, SP, Brasil",5189
"cordeiro, RJ, Brasil",5184
"itapolis, SP, Brasil",5180
"são vicente, SP, Brasil",5147
"machado, MG, Brasil",5124
"canela, RS, Brasil",5112
"leme, SP, Brasil",5110
"viçosa, MG, Brasil",5098
"venancio aires, RS, Brasil",5070
"jau, SP, Brasil",5052
"santa luzia, MG, Brasil",5048
"rancharia, SP, Brasil",5038
"são gonçalo, RJ, Brasil",5024
"timbo, SC, Brasil",5020
"brumado, BA, Brasil",5016
"colatina, ES, Brasil",5013
"jaboticabal, SP, Brasil",5005
"sao borja, RS, Brasil",5004
"pederneiras, SP, Brasil",4998
"sao gabriel, RS, Brasil",4992
"holambra, SP, Brasil",4992
"cravinhos, SP, Brasil",4992
"barra do garcas, MT, Brasil",4975
"marau, RS, Brasil",4972
"belém, PA, Brasil",4917
"tres pontas, MG, Brasil",4860
"sao pedro da aldeia, RJ, Brasil",4806
"januaria, MG, Brasil",4796
"paraguacu paulista, SP, Brasil",4780
"taubaté, SP, Brasil",4780
"guarapuava, PR, Brasil",4769
"marica, RJ, Brasil",4748
"simoes filho, BA, Brasil",4725
"torres, RS, Brasil",4709
"piracaia, SP, Brasil",4686
"brusque, SC, Brasil",4685
"espirito santo do pinhal, SP, Brasil",4662
"socorro, SP, Brasil",4655
"colombo, PR, Brasil",4596
"panambi, RS, Brasil",4573
"avare, SP, Brasil",4553
"mesquita, RJ, Brasil",4543
"paulínia, SP, Brasil",4539
"são josé, SC, Brasil",4481
"ilheus, BA, Brasil",4481
"cianorte, PR, Brasil",4456
"rondonopolis, MT, Brasil",4455
"ribeirao pires, SP, Brasil",4453
"unaí, MG, Brasil",4428
"concordia, SC, Brasil",4401
"gravatai, RS, Brasil",4395
"mineiros, GO, Brasil",4373
"navegantes, SC, Brasil",4342
"ijuí, RS, Brasil",4316
"guararapes, SP, Brasil",4313
"patrocinio, MG, Brasil",4280
"sao manuel, SP, Brasil",4263
"piumhi, MG, Brasil",4247
"maceió, AL, Brasil",4247
"poa, SP, Brasil",4243
"hortolândia, SP, Brasil",4235
"piedade, SP, Brasil",4232
"carlos barbosa, RS, Brasil",4220
"sao fidelis, RJ, Brasil",4209
"sumaré, SP, Brasil",4180
"penapolis, SP, Brasil",4178
"senhor do bonfim, BA, Brasil",4161
"visconde do rio branco, MG, Brasil",4142
"barao de cocais, MG, Brasil",4104
"cuiabá, MT, Brasil",4103
"novo horizonte, SP, Brasil",4097
"juquitiba, SP, Brasil",4095
"ribeirao das neves, MG, Brasil",4093
"oliveira, MG, Brasil",4093
"petrópolis, RJ, Brasil",4075
"osvaldo cruz, SP, Brasil",4048
"coromandel, MG, Brasil",4025
"iguaba grande, RJ, Brasil",3952
"palmital, SP, Brasil",3924
"jacarezinho, PR, Brasil",3876
"cruz das almas, BA, Brasil",3870
"aguas de lindoia, SP, Brasil",3864
"casimiro de abreu, RJ, Brasil",3859
"itapeva, SP, Brasil",3846
"cambui, MG, Brasil",3828
"garopaba, SC, Brasil",3818
"laranjal paulista, SP, Brasil",3791
"salinas, MG, Brasil",3762
"capelinha, MG, Brasil",3760
